source_field,destination_field,format_action,timestamp_format,Notes,copy_action
src_ip,source.ip,,,,rename
AlertTime,@timestamp,,,,copy
ComputerDnsName,host.name,,,,rename
AlertTitle,,,,,
Category,,,,,rename
Severity,vulnerability.severity,,,,
AlertId,,,,,
Actor,,,,,
LinkToWDATP,,,,,
IocName,,,,,
IocValue,,,,,
CreatorIocName,,,,,
CreatorIocValue,,,,,
Sha1,file.hash.sha1,,,,rename
FileName,file.name,,,,rename
FilePath,file.path,,,,rename
IpAddress,,,,,
Url,,,,,
IoaDefinitionId,,,,,
UserName,user.name,,,,rename
AlertPart,,,,,
FullId,,,,,
LastProcessedTimeUtc,,,,,
ThreatCategory,vulnerability.category,,,,rename
ThreatFamily,vulnerability.classification,,,,rename
ThreatName,vulnerability.description,,,,rename
RemediationAction,,,,,
RemediationIsSuccess,,,,,
Source,event.category,,,,rename
Md5,file.hash.md5,,,,rename
Sha256,file.hash.sha256,,,,rename
WasExecutingWhileDetected,,,,,
UserDomain,user.domain,,,,rename
LogOnUsers,,,,,
MachineDomain,host.domain,,,,rename
MachineName,host.hostname,,,,rename
InternalIPv4List,host.ip,,,,rename
InternalIPv6List,,,,,
FileHash,,,,,
DeviceID,,,,,
MachineGroup,,,,,
Description,message,,,,rename
DeviceCreatedMachineTags,,,,,
CloudCreatedMachineTags,,,,,
CommandLine,process.command_line,,,,rename
IncidentLinkToWDATP,,,,,
ReportID,,,,,
LinkToMTP,,,,,
IncidentLinkToMTP,,,,,
ExternalId,,,,,
IocUniqueId,,,,,
